Apfel, der
Mann, der
Kuchen, der
Name, der
Buchstabe, der
Freund, der
Tomate, die
Frau, die
Orange, die
Banane, die
Kartoffel, die
Nummer, die
Zahl, die
Stadt, die
Wurst, die
Information, die
Kiwi, die
Birne, die
Freundin, die
Großmutter, die
Ei, das
Kind, das
Hotel, das
Land, das
Foto, das
Brot, das
Brötchen, das
Joghurt, der
Tee, der
Reis, der
Gemüse, das
Bier, das
Sahne, die
Fleisch, das
Brot, das
Wasser, das
Salz, das
Milch, die
Käse, der
Wein, der
Fisch, der
Obst, das
Butter, die
Rindfleisch, das
Kaffee, der
Saft, der
Schokolade, die
Öl, das
Wurst, die
Pizza, die
Salat, der
Essen, das
Getränk, das
Flasche, die
Packung, die
Dose, die
Becher, der
Lebensmittel, das
Traube, die
Schinken, der
Cola, die
Euro, der
Cent, der
Preis, der
Kilo, das
Liter, der
Gramm, das
Markt, der
Person, die
Restaurant, das
Supermarkt, der
